st; rw; rf; rw; st; rwz; rw; f; st; st; b; rs; f; rw; rfz; rwz; rwz; st; b; rs;
st; f; f; b; rs; f; rf; f; b; rw; rw; rs; st; b; st; rfz; st; rwz; b; rs;
b; b; rs; rw; rs; rwz; rwz; st; st; f; rwz; rf; rfz; rf; rfz; rw; b; rs; rs; rwz;
b; rw; rw; rfz; rs; f; rw; rs; b; rf; st; rwz; rwz; rfz; f; st; rf; rwz; rwz; b;
st; b; rfz; rfz; b; rs; st; f; b; f; rf; rs; rwz; rf; rw; rwz; b; rw; rfz; rs;
b; f; f; b; rw; rw; rfz; rf; rw; rfz; rf; rfz; f; rw; rw; rwz; rf; f; rs; st;
b; rf; b; b; rwz; rf; b; st; rf; b; b; rf; rs; f; rw; rs; rfz; st; rs; rw;
b; rwz; rfz; rs; rs; rs; st; st; rw; b; rw; st; st; rw; rf; rwz; rs; rf; rs; f;
st; rfz; st; rf; rfz; b; rwz; rfz; rwz; rwz; f; f; f; rw; b; f; st; rfz; b; f;
b; st; rf; rw; st; b; rfz; b; f; st; rs; rs; rfz; rs; rs; b; rw; b; b; st;
b; rfz; rfz; rfz; rw; rf; rwz; f; st; b; f; rfz; rfz; rf; rw; rf; f; rfz; f; b;
b; st; st; f; rw; b; b; st; rwz; rs; b; b; rs; rs; b; rf; rwz; rfz; rfz; rwz;
b; rf; st; rfz; rwz; st; rw; rw; st; rf; b; b; f; rf; rf; rwz; rf; rw; rf; rwz;
b; f; rf; f; rs; rfz; st; rw; rw; rw; rfz; rf; rfz; rf; rfz; f; f; st; rfz; rf;
b; rw; rwz; st; f; rw; rwz; rfz; f; rwz; f; f; b; b; f; rwz; b; rf; rfz; f;
b; rfz; f; f; rfz; rw; rwz; rs; rwz; f; f; rfz; b; rw; rwz; f; f; rs; rf; rw;
b; rfz; rwz; rs; rf; b; rw; rwz; rfz; rs; st; rs; rwz; rwz; rwz; st; st; rfz; rwz; rs;
b; rw; f; rw; st; rfz; rfz; rwz; rw; rw; b; rw; st; st; rfz; st; rs; st; rfz; rs;
b; f; rw; st; st; rw; rwz; st; rw; rwz; st; f; b; rf; rwz; b; rw; rfz; rs; rfz;
st; rw; f; rw; b; rw; rs; b; b; rf; st; f; rfz; rfz; st; rs; rf; f; rwz; b;
st; rfz; rf; rfz; f; f; rs; rfz; rfz; rw; f; b; f; rfz; rf; rwz; rwz; rwz; b; st;
st; st; b; rfz; rs; rw; rfz; rw; rw; st; rw; f; st; st; b; rwz; rw; st; rs; rw;
b; rs; f; rw; b; st; f; rs; rw; rs; rw; b; rf; rw; f; f; rs; rf; rw; st;
st; rwz; rf; rw; rfz; rfz; rwz; st; rwz; rw; b; rw; rfz; rw; rwz; st; rw; b; b; rfz;
st; rfz; f; rwz; b; rw; f; rs; rw; rs; rs; rw; rs; b; b; rf; st; b; f; rwz;
st; st; rfz; rwz; rs; rw; b; rf; rw; rs; st; st; f; rfz; rfz; rs; f; rw; rfz; rf;
b; rwz; rf; rw; b; rs; rw; rs; rf; rw; rfz; b; rwz; rfz; b; rfz; rfz; rw; rs; rw;
st; rs; rwz; f; rfz; rwz; rw; f; st; rwz; rf; rfz; f; b; rwz; rw; st; rs; rfz; st;
st; st; rf; rw; rfz; rs; rs; st; b; rwz; b; rw; rs; rfz; st; rfz; rw; f; rfz; rwz;
b; rf; rw; rwz; st; rs; rwz; st; b; rw; rwz; rfz; f; rw; b; rw; f; rw; rs; f;
st; rwz; b; st; f; f; b; b; b; rw; rw; rs; f; st; rf; rs; rw; rf; rw; rfz;
b; b; f; b; rwz; rw; rw; rf; rf; f; rs; rwz; b; rw; b; b; rs; rwz; rwz; rw;
st; rs; st; rfz; st; rfz; rs; rf; b; rwz; b; rfz; rw; rw; f; rfz; f; st; rw; rw;
b; rfz; rf; rfz; b; st; b; rs; rf; rw; f; f; rwz; f; rf; rw; rf; rf; rfz; rw;
st; rs; rw; st; b; rwz; b; rw; rs; rs; f; rs; f; rwz; f; rw; rf; f; rf; rwz;
b; rwz; rwz; rfz; st; f; rfz; st; rf; rwz; rs; rf; f; rs; rw; rwz; st; rwz; rs; rfz;
st; rwz; rs; st; rs; b; st; f; rf; rw; b; b; rfz; b; rfz; rs; rfz; rf; f; rwz;
st; rs; rwz; f; rw; rfz; st; rf; rs; f; rf; rwz; rw; f; b; rwz; rw; f; rw; rwz;
b; rwz; st; rfz; rs; f; rwz; b; rfz; st; rwz; rf; rf; st; f; rs; b; rs; st; b;
b; b; b; rfz; f; f; f; st; f; rwz; b; rs; st; rf; rf; f; rw; f; rs; rwz;
st; st; f; rf; f; rw; rwz; st; rw; b; rwz; rfz; b; rwz; rfz; st; st; b; rs; b;
b; rs; b; st; rf; rs; b; rw; rwz; rf; rs; rf; rf; st; f; st; f; st; rf; rw;
b; st; rfz; rfz; rwz; rwz; rw; rfz; rfz; rwz; rs; rf; rs; rwz; rs; rf; rfz; rs; b; b;
b; f; f; rw; rf; rfz; b; rfz; rw; rwz; rs; rw; rw; rfz; f; st; rs; st; st; b;
b; rw; rfz; rf; rf; st; st; b; f; rf; rf; rw; rf; rs; rw; rs; b; rs; rs; rf;
st; rfz; f; f; rfz; rs; b; rw; st; f; rwz; rw; f; rw; rw; rw; rw; rw; rf; rfz;
b; rwz; rs; rf; f; rw; rf; st; rfz; rs; rfz; rwz; rw; f; rwz; rfz; rf; rfz; rfz; rfz;
b; rfz; rf; st; rs; rs; b; st; rs; rfz; rs; f; st; rs; f; rw; rs; rf; rwz; rs;
b; f; b; rf; rf; rs; st; b; rw; st; rfz; rwz; rs; st; rw; rs; rw; st; f; st;
st; st; rf; rs; rw; rf; rwz; rwz; rf; f; rw; st; rfz; rfz; rw; rfz; rfz; f; rw; st;
st; st; b; rs; rw; rs; st; st; b; rfz; rw; rw; b; rwz; rwz; rfz; rf; rw; b; rw;
st; rfz; rwz; st; rf; rwz; b; rf; rs; rw; rs; st; rfz; st; rs; rw; rfz; b; rwz; f;
b; rw; b; b; rw; rf; rw; rw; b; rs; rs; f; rf; rw; rwz; rs; rwz; st; b; f;
st; rfz; b; st; rwz; b; rfz; rwz; st; f; f; rfz; rw; f; st; st; f; rwz; rs; b;
b; f; rf; rfz; rf; rf; b; rfz; rf; rw; b; rwz; st; f; st; st; rwz; rs; rfz; f;
b; b; f; st; rs; st; rs; rs; st; st; rf; b; rf; rw; f; b; rfz; f; rs; rs;
st; rwz; f; st; f; rw; st; b; rwz; st; rf; rf; f; rwz; rw; rwz; rs; rs; rwz; b;
st; rwz; rf; rw; rf; b; st; rs; rs; rwz; rf; rwz; st; rf; rf; rw; rwz; rs; rf; f;
b; rw; f; rs; rwz; rwz; st; f; st; rs; rfz; rfz; f; f; rf; rfz; b; b; rs; rfz;
b; rfz; rwz; st; f; rf; rfz; rf; rw; rwz; rfz; rwz; rwz; rf; rw; st; rs; rfz; b; st;
b; rwz; rfz; f; b; rfz; f; rw; rw; rfz; rfz; st; rfz; rwz; rfz; rfz; rfz; rfz; st; rw;
b; b; rw; rs; rf; rs; rw; rs; rs; rs; rwz; st; rfz; st; rf; rf; st; rwz; rs; rs;
st; rfz; rfz; rfz; rwz; rs; f; rf; b; f; b; rs; rs; st; rs; b; rwz; rw; rw; rf;
b; rwz; b; rwz; st; rwz; rf; rw; f; rfz; st; f; st; rs; b; rfz; rw; f; rwz; b;
b; st; rs; rw; rfz; rs; rs; rf; rw; rwz; b; st; rf; rs; st; st; rs; st; rs; rw;
st; f; rf; b; st; st; st; rs; f; b; rf; rwz; f; rfz; rs; rs; rw; st; rf; rw;
b; rfz; rf; rw; b; rs; rs; rfz; rwz; rfz; b; rs; b; f; rf; rs; rf; f; rw; st;
st; st; rwz; rw; b; rf; b; rw; rs; rfz; rwz; f; rwz; rwz; rf; b; rf; st; rw; rf;
st; rf; rwz; f; st; rf; rw; rw; b; rw; rw; rfz; rw; rs; st; rs; rwz; rs; st; rs;
b; rw; rs; rs; rfz; rwz; st; rs; rw; rfz; rf; rw; rw; rw; st; f; f; rf; rwz; rs;
st; f; rwz; rw; rf; st; rf; rwz; f; st; rf; rfz; b; rfz; rfz; rf; rwz; st; f; rw;
b; rw; rfz; rf; f; f; rs; rwz; rf; b; rf; f; rs; rs; rw; rwz; rw; rs; f; f;
st; b; b; rwz; b; rs; rwz; rw; b; rf; rf; f; b; rf; st; rw; rs; f; b; rwz;
b; rf; b; rf; rf; rw; rwz; rwz; rf; b; rs; b; f; rwz; rwz; b; rw; rfz; rs; st;
st; rw; rf; rfz; f; rwz; rfz; f; rf; rwz; st; rwz; f; f; b; b; st; f; f; rw;
st; f; st; rwz; st; rs; st; b; f; rwz; st; rwz; rfz; st; rwz; st; rwz; rfz; rs; st;
st; rwz; rw; rwz; f; rs; f; f; rfz; rs; rf; f; rwz; b; rf; rf; rs; rw; rwz; rwz;
b; rfz; rwz; rs; rwz; rf; st; rfz; rfz; st; b; f; f; f; f; rw; f; rfz; rf; rs;
st; rfz; rf; rs; rwz; rs; rwz; f; b; rw; rs; rf; rwz; rwz; st; rwz; rwz; b; st; rf;
st; rs; rwz; rwz; st; rw; rfz; b; st; b; b; rw; rf; rfz; rfz; rwz; rf; b; st; rw;
st; st; f; rw; f; rfz; rs; b; f; f; rs; st; rwz; rwz; rw; st; f; f; f; rs;
b; rs; rs; rf; rf; f; st; b; b; rs; rwz; rf; f; f; rwz; b; rs; b; b; rwz;
st; rf; f; f; rw; rw; rf; b; rwz; rw; f; rw; rw; rf; rw; b; f; rs; rfz; rf;
b; rwz; b; f; f; st; rwz; rf; rw; f; f; f; rw; f; f; b; b; rs; b; rw;
st; rw; rs; rw; st; rwz; rwz; st; rfz; rw; st; rfz; rf; rwz; rf; rs; rf; rfz; st; rs;
st; rs; rf; rfz; f; rwz; f; st; rw; rf; f; f; rwz; st; st; f; b; rw; rs; rw;
b; rf; rwz; rwz; st; rs; rw; st; b; rs; rw; rs; rf; rw; rwz; b; rf; rf; rfz; rf;
b; rf; b; st; st; rs; f; rw; f; b; b; rw; rf; rw; b; f; rw; rw; rfz; f;
st; st; rf; rwz; st; f; rf; rw; rwz; rs; f; b; rwz; st; rw; rw; rfz; b; rs; rs;
st; rw; rwz; rs; rf; rwz; st; f; rs; rf; rw; rwz; st; rw; rfz; rf; f; rfz; rs; f;
b; rf; f; b; f; rfz; st; f; rfz; f; b; rwz; rw; b; b; f; rf; rwz; rfz; rfz;
st; rf; rs; rfz; b; st; rw; rfz; rfz; b; rfz; rw; st; f; b; rw; rwz; rwz; rf; rwz;
st; rwz; rw; b; b; rwz; rf; b; rfz; rw; rw; rs; rs; st; rwz; rs; rw; rwz; rfz; f;
b; f; rf; rf; f; rfz; f; rwz; b; b; st; f; rs; rwz; rwz; rw; rwz; f; st; rw;
st; b; st; rfz; rw; st; rf; rs; rfz; b; rwz; rs; f; rwz; b; rw; st; rs; rfz; st;
st; rfz; rw; rs; st; b; rwz; rw; rfz; rfz; rf; rf; rw; rf; rwz; f; st; rf; rw; rs;
st; rs; rw; rs; rfz; rwz; rf; rs; rf; rfz; rw; b; rw; rw; rfz; st; st; rs; rfz; rs;
b; rf; f; rwz; b; rs; rfz; b; st; f; f; rwz; rs; b; st; st; rf; rwz; rfz; st;
st; rw; rwz; st; st; st; st; rfz; rf; rw; f; rs; st; st; rs; rs; st; b; rfz; rf;
st; rwz; rs; rwz; rf; rfz; f; rfz; rfz; f; f; b; rs; rw; rwz; rs; f; b; rfz; rs;
b; rwz; rwz; rfz; st; rfz; rwz; st; rfz; b; rw; b; rwz; rf; rw; rfz; rwz; f; rfz; rf;
st; rwz; rfz; st; st; b; rwz; rfz; b; st; rfz; rs; st; f; rf; rwz; rfz; rw; st; st;
st; st; st; rw; rs; rs; rfz; rwz; rwz; rw; rs; rf; rs; rf; st; f; b; f; f; rwz;
b; st; b; rw; rf; st; st; b; rfz; st; rw; f; rfz; f; rs; st; rs; rfz; st; st;
b; b; b; rs; rfz; f; b; rs; rfz; f; st; rw; f; rfz; b; f; rfz; st; st; rfz;
st; rs; st; rf; rwz; b; rw; rfz; rw; st; f; b; rwz; rw; rwz; rwz; rwz; st; rw; rw;
b; st; rwz; f; rwz; rs; st; st; f; f; f; rw; rs; rs; f; rf; f; st; rs; b;
b; rs; rf; st; rf; rw; rwz; rfz; rs; rwz; f; rfz; rwz; st; rwz; rwz; rwz; st; rwz; st;
st; f; rw; rs; f; rwz; rf; rfz; rwz; rs; rs; rw; b; st; rwz; rs; rs; b; f; rfz;
st; b; rwz; rfz; rfz; rwz; rfz; rwz; rs; rwz; rw; f; rs; rwz; f; rf; f; rw; rwz; rf;
st; rw; b; rw; rwz; b; f; rwz; st; f; f; rf; b; rf; st; rwz; st; b; b; rw;
b; rwz; rwz; st; rwz; rf; rfz; rs; b; rwz; rwz; st; rfz; rs; rs; st; f; rfz; rw; st;
st; rw; rwz; b; rfz; rfz; rs; b; rwz; b; rw; rf; rw; f; b; b; rs; rfz; f; rw;
st; b; rf; rwz; f; f; b; rfz; rf; f; rwz; st; rf; b; rw; f; rw; rwz; f; rfz;
st; rs; f; b; rw; rf; b; rfz; rwz; rwz; rs; b; rw; rfz; rfz; rw; rf; rwz; f; rs;
b; f; st; rwz; rs; rf; b; f; b; f; f; b; rf; rwz; f; st; rwz; b; rs; rw;
b; rf; rs; rs; rwz; rfz; b; rfz; st; b; rf; st; rw; rs; b; st; f; st; st; rwz;
b; f; b; rwz; rfz; rf; rs; f; rf; b; rfz; rfz; b; st; rf; rfz; rfz; st; rfz; rwz;
st; rf; rw; b; f; st; b; rw; rf; b; b; st; rfz; f; rfz; rw; rf; rwz; st; f;
b; rw; rs; rw; rwz; rwz; rf; rwz; rwz; f; rw; b; rw; rf; rfz; st; rfz; rf; rs; rf;
st; st; f; rs; f; b; rs; rfz; rfz; f; rwz; rs; rs; rfz; rf; st; f; f; rs; b;
st; rwz; rw; st; st; rfz; rf; rs; b; rs; b; f; b; b; rf; b; f; rfz; rf; b;
b; rs; rf; st; rs; f; rs; rfz; b; rwz; rf; rs; rfz; rwz; rfz; st; b; rf; rwz; rfz;
st; rf; rwz; rf; rf; b; rw; b; rs; rwz; st; rf; f; rw; st; rf; rwz; f; b; rs;
b; rfz; st; rs; f; b; rfz; rf; st; rfz; rs; rfz; st; st; rf; st; rf; f; rs; rfz;
st; f; rw; b; rwz; rf; rw; rfz; b; rw; rwz; rf; f; rwz; rwz; b; rwz; rf; rf; rs;
b; b; rs; rs; st; rs; f; rw; rfz; rf; rw; rf; st; rs; rwz; b; st; rf; b; rs;
st; rfz; b; rw; rw; rs; rf; rw; rw; rf; st; rf; st; rf; f; rwz; b; rf; rf; b;
b; st; rfz; rf; rs; rfz; rw; rfz; f; f; st; f; b; st; rfz; st; rw; rfz; rw; rf;
st; rfz; rfz; rf; rwz; rwz; rwz; rf; rw; f; rwz; f; rw; b; b; rf; rs; st; f; b;
b; st; f; b; rw; rs; rwz; rw; f; rs; rs; rfz; rwz; st; rfz; rw; rs; rw; rfz; rw;
st; rf; b; rw; rfz; rwz; b; f; rf; f; rw; rfz; rwz; rwz; rwz; rfz; rw; rfz; rw; rf;
b; rs; st; f; rw; st; rwz; f; f; f; f; rwz; rfz; rfz; rwz; rfz; rfz; st; st; b;
b; rfz; rw; rfz; st; rf; f; rfz; rwz; rfz; rwz; st; rs; st; rf; st; f; f; f; st;
b; f; rw; rwz; st; rfz; rfz; rw; rfz; b; f; rw; f; rf; rw; rwz; rf; b; rwz; b;
b; rwz; f; b; st; rwz; rwz; f; rw; rw; b; f; rf; rs; rf; rs; f; rw; rs; rfz;
b; rfz; st; rs; st; rfz; rfz; rs; st; rf; rfz; rs; f; rf; f; rf; b; rs; b; rfz;
b; rs; rs; f; rwz; st; rfz; f; rf; b; rf; rf; rfz; rw; st; f; rfz; rwz; rs; rf;
b; f; f; st; f; rs; rs; rw; rw; rs; rfz; b; b; b; rwz; st; rwz; rs; rwz; rw;
b; rf; f; rfz; rwz; st; st; b; b; rs; rwz; rw; rw; b; f; rf; rs; rf; rf; rs;
b; b; f; rs; rf; rwz; rwz; rf; f; rf; rfz; rw; b; rwz; f; rw; b; rf; rw; rwz;
st; st; rfz; st; f; rw; f; rw; f; rwz; rwz; rwz; st; b; rfz; rwz; rs; st; f; f;
st; rw; rfz; b; rw; rs; rf; f; rw; rwz; rwz; rfz; st; f; rwz; rs; rf; b; st; rfz;
st; st; rfz; st; rs; rs; f; rf; rs; rw; rf; rfz; f; rfz; rs; rfz; rw; rw; rwz; rf;
b; f; rfz; rf; rs; rwz; st; f; rf; rs; rf; f; f; rw; f; st; b; rs; rw; b;
b; st; rw; rf; rw; rwz; rw; rwz; rw; b; rf; f; rw; f; rf; b; rf; rs; rfz; f;
st; st; rs; rfz; rs; rs; rf; b; rf; b; rf; st; rwz; rs; rs; st; rfz; b; rw; rw;
st; rfz; rwz; rfz; st; f; rs; rwz; rfz; rwz; rfz; rw; rwz; rs; rf; rwz; rs; rfz; st; rf;
b; st; rf; rw; f; rw; rfz; rw; st; rf; f; f; rs; rf; rf; rfz; rw; rw; rw; rf;
b; rf; rwz; st; st; rfz; st; st; st; f; st; st; f; rw; rw; b; rw; f; rf; b;
st; rf; st; b; rf; rfz; rf; rwz; f; b; st; rf; rfz; rs; rw; rs; rfz; f; rw; rfz;
b; st; rw; rw; rf; rfz; b; rwz; st; st; st; f; rs; rs; rfz; b; f; st; rfz; st;
st; b; rf; rf; rfz; rwz; f; rw; rfz; rfz; rwz; rfz; f; rwz; st; rw; rfz; f; rwz; rw;
b; f; rwz; st; st; rwz; f; st; b; f; rf; rwz; rfz; rs; rf; rfz; f; rwz; rwz; st;
st; rwz; rw; rfz; rf; rfz; rwz; rwz; f; rw; rwz; rs; rfz; f; f; rs; rwz; rf; rs; b;
st; rw; rfz; rfz; rs; b; rs; rw; f; rf; rs; b; rwz; rs; f; rfz; rf; f; rf; rf;
st; rw; b; rfz; rwz; f; rs; rs; f; rfz; rf; rfz; rfz; rfz; rw; b; rwz; f; f; rw;
st; rs; st; rf; rwz; b; rf; st; rw; rw; rfz; rfz; rwz; rs; b; rwz; rf; st; rw; rw;
b; rw; b; rf; rw; b; rf; rw; rf; rw; b; rwz; st; rs; f; st; st; rfz; st; st;
st; rw; rwz; rf; st; b; rf; b; rs; f; rf; rw; rf; rw; rwz; st; rwz; rfz; rs; st;
st; rfz; rf; b; rs; rf; b; b; rf; b; rwz; b; rwz; rs; rfz; rw; rfz; rs; rw; rfz;
b; rs; b; rf; rwz; rwz; f; rs; rf; rs; rf; st; rfz; st; b; st; f; rwz; rw; rf;
b; rw; rw; rs; st; rwz; rwz; b; f; b; f; st; rf; rwz; rs; rf; st; b; rw; rfz;
st; st; f; b; st; b; rw; rs; st; rfz; rw; f; b; rwz; rs; rf; st; f; rfz; rs;
st; st; f; rf; rs; f; rw; rf; st; rf; rw; rf; rw; rfz; st; b; rs; rwz; rfz; b;
b; rfz; rfz; rs; b; f; b; b; rw; rf; rs; rw; rfz; st; b; rf; rwz; rfz; rw; rs;
st; f; rwz; b; rfz; b; rf; rs; rw; f; rf; rfz; rw; b; b; rfz; rfz; rw; rs; rf;
st; rw; rf; f; rwz; rw; rw; f; b; b; b; st; st; rwz; rs; f; rs; f; rfz; st;
st; rwz; rfz; st; rf; rf; f; rw; rw; rf; st; f; rw; b; st; rwz; f; f; st; b;
b; rwz; st; rwz; rs; rwz; rf; rs; rw; rfz; rs; f; rfz; st; rf; st; rwz; f; b; rw;
b; rs; rwz; rfz; f; rwz; rf; rw; rw; rs; rwz; rfz; rs; rwz; rf; st; f; st; st; rs;
st; rwz; rfz; rwz; f; b; rs; rwz; rw; rwz; st; rf; rf; rs; rw; rfz; f; f; b; rs;
b; st; b; rfz; rwz; st; st; b; rfz; st; f; rs; rf; f; b; rwz; rw; b; rwz; rw;
st; f; rw; rs; rs; rf; f; st; rwz; f; rwz; rwz; f; st; rwz; rwz; f; rs; rf; rfz;
b; st; b; b; rfz; rs; f; rw; rw; rs; rfz; rw; f; f; rs; rf; rs; rf; rfz; f;
b; rw; rf; rwz; st; rf; rw; rfz; rf; rs; b; rfz; rf; rw; rw; b; st; rfz; b; st;
st; rs; st; rwz; rw; rfz; st; rs; b; f; rs; st; st; st; st; rs; rw; rs; st; rs;
b; f; rs; f; rw; b; rs; rw; rfz; f; rs; f; rw; b; f; rfz; rw; rs; rw; rs;
b; f; rw; f; rs; b; rs; st; rf; rf; rw; rf; rfz; rfz; rf; b; st; rwz; rf; rfz;
b; f; b; rwz; rs; f; st; rs; rf; st; rwz; rs; st; rw; f; rf; st; rwz; f; st;
b; rf; rw; st; rfz; rf; rs; b; rfz; rs; rfz; st; b; b; rwz; rw; rwz; f; rs; rf;
b; st; rs; b; rs; rs; rfz; st; rs; rwz; b; st; rf; rs; b; rwz; st; rs; b; st;
st; rs; rf; rw; st; rfz; st; st; rs; rw; f; rs; rw; st; rfz; b; rw; f; rwz; rw;
st; rwz; rs; rwz; rf; f; rwz; rfz; rs; rwz; rf; rw; st; rfz; st; rfz; rs; b; rs; f;
b; f; rw; rw; f; st; st; rfz; rwz; rw; rwz; b; rfz; rw; rs; st; rwz; st; rs; rfz;
st; st; f; rs; rfz; rfz; rw; rw; rf; b; rs; rf; st; rfz; rf; rfz; b; f; b; b;
b; rfz; b; b; rw; b; rw; rwz; f; rwz; f; b; rs; f; rwz; b; f; rw; f; rs;
b; b; b; rw; rf; b; rf; rfz; rwz; b; st; rf; rf; rf; rfz; rfz; rfz; st; rf; rf;
b; rf; rw; rwz; f; rfz; rs; rfz; st; rf; st; b; st; rfz; rfz; rwz; rfz; rs; b; rfz;
b; rs; rs; rfz; rfz; rs; rfz; rwz; rfz; b; f; rf; rwz; rf; f; rfz; f; rwz; rw; b;
b; b; st; rf; rwz; rfz; f; rs; rs; rfz; b; rw; rwz; b; b; b; st; rw; rs; rwz;
b; rs; st; rfz; rs; b; f; rfz; rw; rfz; f; rf; rwz; rw; rw; rf; rw; f; rfz; rfz;
b; f; rwz; rfz; st; rs; rwz; rs; rw; rwz; st; rfz; rw; rw; rw; rw; rwz; rw; rfz; f;
b; rfz; rf; st; rwz; st; f; rs; rw; rs; st; st; rfz; f; rfz; rf; rw; st; rs; rf;
b; rf; f; rs; rw; rw; rw; rs; rw; rw; rs; rfz; rf; f; f; rs; rwz; rfz; rfz; rs;
b; st; rfz; b; rfz; st; rw; f; rw; b; f; rfz; rf; rw; rf; rwz; f; st; rf; rf;
st; rs; f; rwz; rw; rf; rfz; rf; rf; f; st; rw; st; rf; rw; rs; rfz; rs; rs; rfz;
st; rwz; rs; rwz; rw; rw; f; rfz; rf; rw; b; rwz; rfz; f; b; rf; rs; rwz; rw; f;
b; st; st; rw; rw; rwz; b; st; rw; b; b; rwz; rwz; b; rfz; st; f; st; st; f;
b; rf; f; rf; b; st; st; b; rwz; st; f; rfz; st; b; rf; rs; b; rfz; b; rs;
st; rs; rw; rs; rw; rwz; rs; rfz; rw; st; rw; rs; f; st; rf; rwz; rw; f; rs; rw;
b; f; b; rs; rwz; rf; st; st; f; rfz; rf; st; rf; f; rw; rs; st; f; rf; rw;
b; rf; st; rs; rw; rfz; f; rfz; rf; rf; rf; rw; rs; st; rw; rfz; st; b; rwz; rw;
b; rf; rw; st; rwz; rf; st; rwz; st; rs; f; rf; rw; rf; f; f; st; rs; rf; rf;
b; f; f; st; st; b; st; st; st; st; rw; st; rfz; st; rf; f; rfz; rwz; f; f;
b; rs; rs; rwz; b; rs; f; rs; rfz; rf; f; st; rwz; b; rw; rfz; rw; rfz; b; rs;
st; rw; rwz; f; rw; rs; f; b; b; rf; rf; rf; f; rwz; f; b; f; rw; rs; rf;
st; rw; rw; st; rfz; b; rfz; rfz; rfz; rw; rw; b; b; rs; f; rwz; b; rs; rs; rs;
b; rw; rw; rwz; rwz; f; f; rfz; rw; b; rfz; rf; st; rwz; rs; f; rs; st; rf; rf;
st; rwz; f; rs; rw; rw; f; rwz; rs; f; f; rs; rs; rwz; rw; rw; rf; rwz; rfz; rw;
st; f; rwz; f; rwz; rs; rs; f; b; rfz; st; rw; rw; rf; st; rs; f; rs; b; st;
b; rs; b; rs; f; rwz; rfz; b; rw; rw; f; rf; st; rwz; rw; b; rfz; rw; rw; f;
b; st; rwz; rs; b; rwz; rf; st; f; rwz; rw; st; b; st; b; rwz; rfz; rwz; rfz; st;
b; rw; st; rfz; rfz; rwz; st; rf; rfz; b; rw; rwz; b; st; rf; rf; b; rfz; b; st;
st; b; rf; b; f; st; b; st; rf; st; rs; rwz; rs; rfz; rfz; f; rf; rwz; rwz; rs;
st; b; rw; b; rfz; b; rf; f; rs; rw; st; st; st; rs; rf; rf; rw; b; b; rf;
b; rf; b; rfz; f; st; f; b; rwz; rs; rfz; rfz; rwz; rfz; f; f; rwz; b; rf; rw;
st; b; rw; rw; f; f; rwz; rwz; rw; rfz; rs; st; rf; f; st; st; b; rf; rf; b;
st; rwz; rw; st; rwz; rwz; st; rw; rw; rw; rw; rf; rs; b; rwz; b; rf; rs; rs; b;
st; rfz; f; st; b; f; rw; rs; f; rf; rs; rwz; rwz; f; f; rwz; f; st; rs; rw;
st; rw; rw; rwz; rw; f; rs; rf; rfz; rs; st; rfz; rf; f; rwz; rf; rs; rw; rfz; f;
b; b; rfz; st; rs; rfz; f; f; rwz; st; st; f; st; rwz; rwz; b; rs; f; f; rwz;
b; rw; rs; rwz; rf; b; rf; rw; rfz; rs; f; st; rf; rfz; b; rs; rwz; rs; f; rs;
st; rw; rwz; b; b; rf; rfz; b; rwz; rfz; rfz; f; f; rs; rf; st; st; rwz; rwz; rwz;
st; b; rfz; rf; st; rfz; b; rs; f; rs; b; b; rfz; f; st; rfz; f; f; rf; rs;
st; rs; rf; rs; f; rwz; rfz; rs; rf; rw; f; rwz; rw; rs; f; st; b; rf; f; rf;
st; rw; b; st; f; st; rfz; rfz; rfz; rw; st; f; rs; st; rw; rf; rfz; b; b; rw;
b; rw; rf; rwz; rw; rf; rf; b; rfz; f; rfz; st; rwz; rfz; rs; st; f; rfz; rwz; st;
b; rs; f; rf; f; rf; rf; f; rf; rf; rw; f; st; rs; b; rw; rw; rwz; f; st;
st; rfz; rwz; f; rs; rfz; rwz; b; rw; rs; rs; rwz; b; rs; rs; rs; rw; st; rwz; b;
b; rf; st; b; rf; rfz; rwz; b; f; rwz; rw; rfz; rw; f; rwz; rs; st; rfz; rfz; rf;
st; rs; rfz; rw; st; b; rf; st; st; rwz; b; f; rf; b; b; rf; rw; rwz; f; f;
st; rf; rf; rwz; f; rw; st; rw; rf; b; rw; rf; rf; rs; b; rw; f; st; st; b;
b; rf; rf; f; b; rfz; b; rw; rw; b; rf; f; b; rf; st; b; f; f; rs; rwz;
b; b; st; st; st; f; f; st; rf; rs; rs; rfz; f; st; rs; rf; rs; rf; b; rs;
st; rs; rs; rf; b; rf; st; rw; rfz; b; rfz; rw; st; rfz; b; st; b; b; rfz; b;
st; rs; rwz; rf; b; rf; rwz; rfz; rwz; b; rs; rwz; rw; rwz; rwz; f; st; st; f; rwz;
b; st; rw; rw; st; rw; rf; st; rs; rw; b; rf; b; rfz; b; rs; rwz; b; st; f;
b; rfz; rf; rwz; rw; b; f; rs; b; rwz; f; rfz; st; rf; rs; rw; rfz; f; rs; rfz;
b; st; b; rs; rw; rwz; rw; rfz; rs; b; rw; f; f; st; st; rf; rfz; rwz; rs; f;
st; f; rf; rw; rwz; rf; f; rw; st; rwz; rf; rf; rw; rwz; rf; rfz; st; f; rfz; rwz;
st; rfz; b; f; rf; rfz; rw; rwz; rw; st; rf; f; st; rfz; b; st; f; b; f; rwz;
st; rs; f; f; rs; f; st; rfz; rf; rfz; rfz; rf; f; rw; b; f; rwz; f; rfz; rw;
